appname,total_recommended
The Witcher 3: Wild Hunt,4678
Grand Theft Auto V,4033
Hollow Knight,3642
DOOM,3571
Portal 2,3494
Terraria,3463
Dying Light,3437
DARK SOULS™ III,3403
Garry's Mod,3386
Tom Clancy's Rainbow Six Siege,3329
PAYDAY 2,3283
The Elder Scrolls V: Skyrim,3210
Fallout 4,3193
Tomb Raider,2926
Wallpaper Engine,2775
Stardew Valley,2754
The Forest,2724
BioShock Infinite,2599
Monster Hunter: World,2335
Rise of the Tomb Raider,2325
Rocket League,2225
Don't Starve Together,2198
PLAYERUNKNOWN'S BATTLEGROUNDS,2166
Sid Meier's Civilization V,2125
Resident Evil 2,2088
Dead by Daylight,2059
The Elder Scrolls V: Skyrim Special Edition,2035
Cities: Skylines,2029
Rust,1990
No Man's Sky,1936
Euro Truck Simulator 2,1905
Subnautica,1887
Divinity: Original Sin 2,1829
Dishonored,1827
Sekiro™: Shadows Die Twice,1793
Undertale,1759
Far Cry 5,1694
Hotline Miami,1661
Arma 3,1656
Saints Row: The Third,1631
Among Us,1619
Outlast,1613
Darkest Dungeon®,1586
DOOM Eternal,1581
Just Cause 3,1572
Mount & Blade: Warband,1563
Kingdom Come: Deliverance,1531
Human: Fall Flat,1496
The Walking Dead,1492
Assassin's Creed Odyssey,1486
XCOM 2,1473
ARK: Survival Evolved,1462
The Binding of Isaac: Rebirth,1460
NieR:Automata™,1450
Cuphead,1447
Middle-earth™: Shadow of War™,1444
Counter-Strike: Source,1442
Castle Crashers,1432
Assassin's Creed Origins,1421
Warhammer: Vermintide 2,1415
BattleBlock Theater,1401
Half-Life,1370
Doki Doki Literature Club,1332
Black Mesa,1274
Don't Starve,1270
Deep Rock Galactic,1268
Slay the Spire,1262
Dead Cells,1252
Sid Meier's Civilization VI,1230
Enter the Gungeon,1212
For Honor,1193
Factorio,1190
Frostpunk,1187
FTL: Faster Than Light,1180
RimWorld,1175
Hades,1174
Phasmophobia,1144
Stellaris,1113
Total War: WARHAMMER II,1043
MORDHAU,1040
To the Moon,1035
Age of Empires II (2013),1022
The Elder Scrolls Online,1018
Hunt: Showdown,965
Borderlands 3,908
Slime Rancher,867
Helltaker,860
Raft,849
Oxygen Not Included,838
Mirror,833
Insurgency: Sandstorm,827
theHunter: Call of the Wild™,813
Total War: THREE KINGDOMS,754
Hearts of Iron IV,746
Conan Exiles,744
American Truck Simulator,688
Europa Universalis IV,609
Bloons TD 6,508
Total War: ROME II - Emperor Edition,499
BeamNG.drive,356
