mean_game_time,votes_helpful
3302,13595.0
15402,6467.0
60807,6116.0
31303,5951.0
1071,5271.0
3023,4723.0
391,4308.0
1359,3763.0
4175,3567.0
3855,3377.0
1643,3178.0
10791,3082.0
706,2876.0
5489,2869.0
1466,2687.0
733,2660.0
1156,2585.0
8184,2518.0
892,2389.0
754,2279.0
1492,2165.0
16119,2158.0
1803,2148.0
2840,2137.0
6575,2087.0
651,2082.0
9486,1957.0
308,1956.0
377,1833.0
4288,1819.0
1033,1735.0
4966,1701.0
9143,1633.0
6626,1629.0
1784,1615.0
2738,1609.0
7957,1591.0
6153,1548.0
14261,1519.0
4987,1507.0
14,1482.0
1298,1481.0
1149,1478.0
46482,1467.0
9151,1451.0
16271,1421.0
6806,1400.0
185,1397.0
627,1389.0
317,1385.0
713,1360.0
5766,1342.0
71091,1291.0
2243,1288.0
21064,1272.0
3709,1268.0
1262,1264.0
755,1249.0
7396,1227.0
4394,1223.0
2824,1222.0
4583,1208.0
6522,1198.0
777,1196.0
1998,1188.0
10291,1177.0
66232,1176.0
3403,1168.0
5483,1162.0
80,1158.0
21458,1148.0
1018,1132.0
3668,1104.0
33232,1103.0
55924,1098.0
2363,1075.0
776,1073.0
9908,1063.0
4747,1058.0
5380,1042.0
4035,1027.0
767,995.0
1241,973.0
169528,956.0
9271,950.0
2579,937.0
3853,933.0
10621,929.0
701,928.0
16557,918.0
20024,910.0
3022,892.0
53,890.0
294295,888.0
83,878.0
79,871.0
5973,868.0
6949,853.0
1615,848.0
1494,845.0
32014,839.0
3280,836.0
4277,832.0
1270,829.0
75408,823.0
786,810.0
394,805.0
2366,800.0
2093,796.0
487,778.0
14586,777.0
32241,776.0
17868,772.0
174,760.0
22787,759.0
379,758.0
42760,750.0
5701,732.0
3801,731.0
58,720.0
8527,714.0
5147,709.0
3810,704.0
1420,703.0
30128,702.0
304,698.0
1758,696.0
22,693.0
127,686.0
90273,685.0
231,684.0
4668,681.0
797,680.0
3911,675.0
15454,666.0
2780,657.0
1994,655.0
6093,654.0
669,650.0
17,646.0
31441,645.0
1647,644.0
11468,643.0
1389,641.0
7840,637.0
1572,635.0
4193,633.0
52,629.0
18068,626.0
5677,625.0
4140,619.0
863,616.0
17193,614.0
10248,609.0
2530,604.0
3014,601.0
612,597.0
