avg_votes_up,num_games
364,2054
363,1191
346,5574
236,1350
213,2955
168,4522
148,3606
137,9084
136,11222
125,2828
124,1962
121,795
120,1845
112,1181
112,2800
105,2234
102,2214
102,677
100,808
99,1844
96,926
94,2259
94,4199
93,3227
91,1936
91,1340
91,1224
91,1186
90,14389
90,3208
85,2245
85,1082
83,2409
83,1188
82,1702
82,4147
79,3520
79,1854
77,664
71,3619
71,1513
68,1105
68,1728
67,8038
66,4745
66,675
66,1721
64,1085
63,1091
63,1475
63,939
62,2023
60,1108
59,5500
59,883
59,7728
58,4010
57,3016
57,1659
57,2026
56,5399
56,906
54,2888
54,2118
54,2161
54,702
54,1685
52,3824
52,2006
52,1198
50,2590
50,976
50,3095
49,1780
49,9109
48,1279
48,3674
48,2925
48,4062
47,1122
47,2252
47,3479
47,1102
46,6435
45,1150
45,4029
44,8125
44,3544
44,973
43,1072
43,1469
43,2350
42,2254
42,1104
42,1220
41,4039
41,3550
41,1312
40,1723
40,837
40,878
40,903
39,922
39,1977
39,2853
38,1259
38,1900
38,6528
38,1518
38,2849
37,2238
37,714
36,2229
36,1438
36,2176
36,1349
36,1940
35,1090
35,1077
35,1547
34,773
34,2200
34,1375
34,1143
33,2455
33,967
33,1016
33,4681
32,2068
32,1029
32,1515
31,366
31,940
31,623
31,2220
31,881
31,2554
30,1474
30,1015
30,501
29,4267
29,2387
29,533
29,1839
29,7045
28,844
28,499
28,1095
27,735
27,2583
27,1642
27,754
27,1896
27,1038
27,3666
26,2855
26,1244
26,1169
26,766
25,805
25,1959
25,2753
25,916
25,1372
25,1425
25,7839
25,1021
24,1512
24,6994
24,11976
24,413
24,964
24,4122
24,1411
24,320
24,1569
23,1094
23,1120
23,1792
22,5120
22,4961
22,1171
22,1570
22,2184
21,1516
21,711
21,1149
21,7725
21,650
21,2253
21,988
21,648
21,1417
21,1769
21,722
20,364
20,361
20,392
20,1472
20,1910
20,812
20,619
20,3661
20,1267
20,1156
20,1601
20,4819
20,5453
20,3270
20,2779
20,3488
20,1331
19,3446
19,7696
19,570
19,612
19,1337
19,720
19,1489
19,2042
19,1164
19,444
19,1036
18,2869
18,1781
18,535
18,972
18,1308
18,620
18,2283
18,2095
18,3464
18,885
18,3971
18,2024
17,2681
17,1257
17,484
17,703
17,687
17,681
17,1770
17,1539
17,498
17,1801
17,3642
17,670
17,855
17,777
17,1194
17,1324
17,1113
16,1046
16,834
16,3700
16,1490
16,1357
16,907
16,1002
16,989
16,4645
16,3859
16,3641
16,680
16,1994
16,1636
16,493
16,793
16,581
16,565
16,787
16,273
16,918
15,1532
15,531
15,663
15,911
15,2085
15,2146
15,1185
15,1265
15,416
15,1646
15,454
15,1019
15,2168
15,938
15,974
15,5135
15,1793
15,1432
15,3389
14,1521
14,1846
14,833
14,969
14,1773
14,1145
14,542
14,1488
14,1486
14,3545
14,2693
14,1693
14,1437
13,1951
13,1025
13,1037
13,1234
13,1510
13,1439
13,700
13,1155
13,1455
13,961
12,7508
12,3161
12,434
12,470
12,1908
12,1225
12,520
12,1617
12,1187
12,2167
12,1537
12,1138
12,993
12,1032
12,1218
12,1998
12,544
12,1523
12,575
12,4264
11,717
11,1048
11,1384
11,1674
11,2975
11,1664
11,1065
11,431
11,1297
11,1196
11,632
11,1857
11,2107
11,856
11,280
11,2882
11,4477
11,1637
11,2186
10,1369
10,1212
10,324
10,665
10,791
10,1371
10,578
10,1050
10,3519
10,4621
10,1286
10,2043
10,8366
10,545
10,503
10,1376
10,896
10,455
10,513
10,3524
10,550
10,397
10,646
10,375
10,423
10,729
10,247
10,990
10,900
9,656
9,1321
9,1179
9,780
9,2058
9,933
9,2217
9,1953
9,2939
9,465
9,3402
9,1554
9,1429
9,1064
9,930
9,1216
9,549
9,390
9,516
9,1713
9,2339
9,1734
9,2020
9,1026
9,820
9,1232
9,1424
9,4525
9,1632
9,1197
9,251
8,1391
8,1986
8,756
8,2363
8,447
8,5740
8,277
8,323
8,477
8,1348
8,2663
8,462
8,1893
8,1400
8,853
8,890
8,369
8,3021
8,726
8,532
8,398
8,1281
8,2646
8,5059
8,496
8,1731
8,1651
8,3127
8,1676
8,2497
8,747
8,806
8,1460
8,1724
8,83
8,1045
8,1561
7,2240
7,3838
7,1410
7,511
7,986
7,1010
7,958
7,1089
7,625
7,266
7,1135
7,1658
7,2519
7,1088
7,2103
7,867
7,359
7,1060
7,716
