language,avg_recommends
english,0.52256066
schinese,0.1497863
russian,0.080140576
koreana,0.06044317
turkish,0.032998085
german,0.026827538
brazilian,0.023528535
french,0.019527262
italian,0.0065146256
thai,0.004432754
japanese,0.00411154
swedish,0.0019329406
portuguese,0.0013150852
norwegian,0.0012862635
dutch,0.0012457094
danish,0.0011390932
bulgarian,5.653053E-4
spanish,0.025398044
polish,0.014695841
tchinese,0.011813343
latam,0.004537698
czech,0.0034206568
hungarian,0.0020492168
finnish,0.0014110168
romanian,0.0013361963
ukrainian,6.445085E-4
vietnamese,5.945779E-4
greek,5.69434E-4
