appname,game_corr_comment_votes
American Truck Simulator,0.064855024
Arma 3,0.17963168
BattleBlock Theater,0.11182267
Bloons TD 6,0.11252626
Cities: Skylines,0.09478258
Deep Rock Galactic,0.081588104
Dishonored,0.15176274
Doki Doki Literature Club,0.14567325
Dying Light,0.16996771
Enter the Gungeon,0.11621266
Europa Universalis IV,0.16898604
FTL: Faster Than Light,0.09374011
Factorio,0.12058634
Garry's Mod,0.15112899
Just Cause 3,0.15551454
Outlast,0.13893498
Portal 2,0.15771121
Rocket League,0.15958118
The Binding of Isaac: Rebirth,0.21991737
The Elder Scrolls Online,0.20075744
The Elder Scrolls V: Skyrim,0.1809417
The Witcher 3: Wild Hunt,0.16974676
Tomb Raider,0.13177846
Undertale,0.1594172
Wallpaper Engine,0.064520106
Warhammer: Vermintide 2,0.12628019
ARK: Survival Evolved,0.15340483
Among Us,0.12374657
BioShock Infinite,0.123255104
Black Mesa,0.121948145
Castle Crashers,0.07020801
Conan Exiles,0.12747593
Counter-Strike: Source,0.14856735
Cuphead,0.21663123
DOOM,0.16092281
Darkest Dungeon®,0.0940354
Divinity: Original Sin 2,0.08263737
Far Cry 5,0.09642006
Frostpunk,0.07034944
Hollow Knight,0.23958838
Hotline Miami,0.20533109
Human: Fall Flat,0.07317482
Hunt: Showdown,0.10406416
Mirror,0.10040862
Raft,0.08772745
Rise of the Tomb Raider,0.09965196
Sid Meier's Civilization VI,0.10493254
Slime Rancher,0.116382614
Terraria,0.23860094
The Elder Scrolls V: Skyrim Special Edition,0.14047842
To the Moon,0.1081416
Total War: WARHAMMER II,0.10751283
Age of Empires II (2013),0.114325896
Assassin's Creed Odyssey,0.082177974
Borderlands 3,0.06707322
DARK SOULS™ III,0.23823933
DOOM Eternal,0.100647
Dead Cells,0.0661319
Dead by Daylight,0.22331437
For Honor,0.1874233
Grand Theft Auto V,0.14655554
Hades,0.05669597
Hearts of Iron IV,0.1362127
Mount & Blade: Warband,0.2076369
NieR:Automata™,0.14157501
No Man's Sky,0.1944485
PAYDAY 2,0.15500347
PLAYERUNKNOWN'S BATTLEGROUNDS,0.25348544
Phasmophobia,0.108157836
Resident Evil 2,0.07912705
Saints Row: The Third,0.11239696
Stardew Valley,0.11740522
Subnautica,0.10156957
XCOM 2,0.10779344
BeamNG.drive,0.12884535
Don't Starve Together,0.1224299
Euro Truck Simulator 2,0.10388695
Half-Life,0.22711602
Insurgency: Sandstorm,0.1058944
MORDHAU,0.16307801
Monster Hunter: World,0.15061541
Oxygen Not Included,0.075253054
Rust,0.15572217
Slay the Spire,0.058339477
Stellaris,0.0816254
The Forest,0.103390746
The Walking Dead,0.15772699
Total War: ROME II - Emperor Edition,0.119674444
theHunter: Call of the Wild™,0.07736868
Assassin's Creed Origins,0.21935432
Don't Starve,0.15185378
Fallout 4,0.1613944
Helltaker,0.101358086
Kingdom Come: Deliverance,0.19170319
Middle-earth™: Shadow of War™,0.08631883
RimWorld,0.19011995
Sekiro™: Shadows Die Twice,0.11413273
Sid Meier's Civilization V,0.095546834
Tom Clancy's Rainbow Six Siege,0.21535116
Total War: THREE KINGDOMS,0.05062182
